Date,Time,Open,High,Low,Close,Volume,OI
10/29/1984,00:00,165.29,167.95,164.67,167.42,454400000,0
11/05/1984,00:00,167.42,170.41,167.33,167.6,468930000,0
11/12/1984,00:00,167.65,167.65,164.09,164.1,364010000,0
11/19/1984,00:00,164.1,166.92,163.03,166.92,308500000,0
11/26/1984,00:00,166.92,166.92,162.99,163.58,411730000,0
12/03/1984,00:00,163.58,163.91,161.76,162.26,442810000,0
12/10/1984,00:00,162.26,163.53,161.54,162.69,416000000,0
12/17/1984,00:00,162.69,169.03,162.44,165.51,592510000,0
12/24/1984,00:00,165.51,166.93,165.5,166.26,249420000,0
12/31/1984,00:00,166.26,167.34,163.36,163.68,314440000,0
01/07/1985,00:00,163.68,168.72,163.68,167.91,509830000,0
01/14/1985,00:00,167.91,171.94,167.58,171.32,634000000,0
01/21/1985,00:00,171.32,178.16,171.31,177.35,749100000,0
01/28/1985,00:00,177.35,180.27,176.56,178.63,652000000,0
02/04/1985,00:00,178.63,182.39,177.75,182.19,666800000,0
02/11/1985,00:00,182.19,183.95,179.45,181.6,603800000,0
02/18/1985,00:00,181.6,182.1,179.23,179.36,406280000,0
02/25/1985,00:00,179.36,183.89,178.13,183.23,552240000,0
03/04/1985,00:00,183.23,183.41,179.07,179.1,543890000,0
03/11/1985,00:00,179.1,180.14,176.53,176.53,487250000,0
03/18/1985,00:00,176.53,180.22,176.53,179.04,515900000,0
03/25/1985,00:00,179.04,180.66,177.85,180.66,466150000,0
04/01/1985,00:00,180.66,181.86,178.29,179.03,373990000,0
04/08/1985,00:00,179.03,180.91,177.86,180.54,466760000,0
04/15/1985,00:00,180.54,182.56,180.19,181.11,456870000,0
04/22/1985,00:00,181.11,183.61,180.25,182.18,483600000,0
04/29/1985,00:00,182.18,182.34,178.35,180.08,504830000,0
05/06/1985,00:00,180.08,184.74,179.82,184.28,538450000,0
05/13/1985,00:00,184.28,187.94,183.65,187.42,513310000,0
05/20/1985,00:00,187.42,189.98,187.29,188.29,564870000,0
05/27/1985,00:00,188.29,189.59,187.09,189.55,429540000,0
06/03/1985,00:00,189.55,191.29,188.88,189.68,601130000,0
06/10/1985,00:00,189.68,189.68,185.03,187.1,487830000,0
06/17/1985,00:00,187.1,189.66,185.97,189.61,510270000,0
06/24/1985,00:00,188.77,191.85,187.84,191.85,517770000,0
07/01/1985,00:00,191.85,192.67,191.17,192.52,368040000,0
07/08/1985,00:00,192.47,193.32,190.81,193.29,534030000,0
07/15/1985,00:00,193.29,196.07,192.55,195.13,642500000,0
07/22/1985,00:00,195.13,195.13,190.66,192.4,596040000,0
07/29/1985,00:00,192.4,192.42,189.3,191.48,531820000,0
